lca_mfg_kg,lca_trans_kg,lca_constr_kg,lca_ops_kg,lca_eolts_kg,total_emissions_ghg_kg,total_emissions_ssa_kg,total_population,social_carbon_cost_usd,user_emissions_kg_per_user,annualized_per_user_emissions,per_user_scc_usd,total_ssa_scc_usd,per_user_annualized_scc_usd,decile,strategy,algorithm,technology
927556.9389479848,6605.317538350778,68865.5478784553,10881.940697535527,841432.0313124117,1855341.7763747382,491533746.7946046,519958.09644696617,139150.63322810538,3.5682524977548384,0.11894174992516128,0.2676189373316129,36865031.00959535,0.008920631244387097,Decile 1,access,pcsf,fiber
409183.57661094965,1891.975144340532,17821.943228389166,2816.1734757191903,217756.9823312113,649470.6507906099,81174308.76381534,1102144.8938164238,48710.29880929574,0.5892788275248204,0.01964262758416068,0.04419591206436153,6088073.15728615,0.001473197068812051,Decile 1,access,prims,fiber
13134565.744043019,3061.8136326540534,30490.824101077273,4818.074493105339,372551.3968906563,13545487.853160512,346736711.1219921,5381366.7048040535,1015911.5889870384,2.517109239381175,0.08390364131270583,0.1887831929535881,26005253.33414941,0.006292773098452937,Decile 1,regional,pcsf,fiber
212582.0853707699,835.3218084107831,6378.812086481639,1007.9619923786639,77939.3612138471,298743.54247188807,6083998.607190241,6764055.809326172,22405.765685391605,0.04416633317247106,0.0014722111057490354,0.003312474987935329,456299.89553926804,0.00011041583293117764,Decile 1,regional,prims,fiber
3541282.7869996508,12021.320597255442,158191.10421511,8566.639931901527,977958.8683483896,4698020.720092308,1879182302.7473338,280042.3548656844,352351.5540069231,16.77610775107787,0.5592035917025957,1.2582080813308403,140938672.70605004,0.041940269377694676,Decile 2,access,pcsf,fiber
895915.3695053345,2234.4264481257633,26822.360774617704,1452.531152240111,165819.47334982845,1092244.1612301467,269136281.1313555,454595.561987559,81918.312092261,2.402672292828143,0.08008907642760477,0.18020042196211072,20185221.084851664,0.006006680732070358,Decile 2,access,prims,fiber
31067023.920193803,5923.290092509407,76337.69978838322,4133.9719484315365,471930.0169739602,31625348.898997087,1984769836.6873462,1784854.7575651803,2371901.1674247817,17.71872403900191,0.590624134633397,1.3289043029251433,148857737.75155097,0.044296810097504774,Decile 2,regional,pcsf,fiber
512802.8547641639,1573.0254524393058,17944.424997479757,971.7577262080885,110934.8698889835,644226.9328292746,30696195.27362558,2350888.51953125,48317.01996219559,0.27403550933062903,0.009134516977687634,0.020552663199797178,2302214.6455219183,0.0006850887733265726,Decile 2,regional,prims,fiber
6872118.244913265,8368.907086837527,43161.18681683026,11837.799564324037,1049979.7497833618,7985465.888164619,3937953230.7559376,176173.29996626216,598909.9416123464,45.32733331153963,1.5109111103846544,3.3995499983654724,295346492.30669534,0.11331833327884908,Decile 3,access,pcsf,fiber
1109065.4357119096,1268.2904474677362,5500.006696584082,1508.484397171724,133798.35173657245,1251140.5689897058,557509469.3918066,194968.40672731717,93835.54267422794,6.417145167214456,0.21390483890714854,0.4812858875410842,41813210.20438549,0.01604286291803614,Decile 3,access,prims,fiber
48734948.685654454,5377.244885975473,27293.61717775201,7485.808277394998,663970.2809053464,49439075.636900924,3028160306.881618,1418410.2603406906,3707930.6727675693,34.85527214462342,1.1618424048207807,2.6141454108467563,227112023.01612133,0.08713818036155854,Decile 3,regional,pcsf,fiber
866868.844915837,1553.6002221392182,7013.270031263027,1923.5264607737533,170611.42326413668,1047970.6648941498,38525960.0721402,2363230.2666266025,78597.79986706123,0.4434483933679799,0.014781613112265998,0.033258629502598495,2889447.0054105152,0.00110862098341995,Decile 3,regional,prims,fiber
15186073.486888701,11570.24851472441,181519.49810547347,11298.924126303995,1355704.350076525,16746166.507711729,9205536932.93688,253543.72783045337,1255962.4880783795,66.04843531727994,2.201614510575998,4.9536326487959945,690415269.970266,0.16512108829319982,Decile 4,access,pcsf,fiber
2999305.594588688,1922.6542431787166,27024.10464892998,1682.1515660655723,201833.39317184285,3231767.898218705,1316091779.602908,342247.7307705029,242382.59236640285,9.442773779516434,0.31475912598388117,0.7082080334637326,98706883.4702181,0.023606934448791087,Decile 4,access,prims,fiber
163134395.99868333,11928.207534551395,187251.8100220927,11655.739554344425,1398516.9420154942,164743748.69780982,8769352344.685917,2618351.9051996376,12355781.152335737,62.91887212358831,2.0972957374529435,4.7189154092691235,657701425.8514438,0.15729718030897077,Decile 4,regional,pcsf,fiber
1824821.965659162,2671.8472383606445,39021.589545957446,2428.9510723049734,291438.3261660197,2160382.679681805,125755365.16552399,2394367.2036132812,162028.70097613535,0.9022770928459194,0.03007590309486398,0.06767078196344395,9431652.387414299,0.002255692732114798,Decile 4,regional,prims,fiber
19421075.32214409,13306.83667602669,134815.80118686415,22158.2050919751,1621842.9371529666,21213199.102251925,12309508222.053535,230593.01923528663,1590989.9326688943,91.99410794221373,3.066470264740458,6.89955809566603,923213116.6540152,0.22998526985553433,Decile 5,access,pcsf,fiber
3771535.659889371,1960.7731316893423,17760.04953290732,2919.025934121295,213654.5615933269,4007830.070081416,1854404257.0806715,289191.5334094569,300587.2552561062,13.858739302740442,0.46195797675801475,1.0394054477055332,139080319.28105038,0.03464684825685111,Decile 5,access,prims,fiber
87758326.44192971,9398.589674740315,94494.96316254142,15531.108041349076,1136780.6091904168,89014531.71199876,9061074754.924093,1314503.9284249165,6676089.878399907,67.71720478512302,2.2572401595041005,5.078790358884226,679580606.6193069,0.16929301196280752,Decile 5,regional,pcsf,fiber
925947.5073955677,1984.8442893075683,18008.388301430132,2959.842673084926,216642.0932788133,1165542.6759382037,98602238.67290473,1581692.643379407,87415.70069536527,0.7368958064114991,0.02456319354704997,0.05526718548086243,7395167.900467854,0.0018422395160287476,Decile 5,regional,prims,fiber
27232431.189118106,31451.547880658592,47415.084075301864,12477.90336757637,1570321.0697200364,28894096.794161677,19321070160.777077,206334.36327946297,2167057.259562126,140.03531130210723,4.667843710070241,10.502648347658042,1449080262.0582807,0.35008827825526806,Decile 6,access,pcsf,fiber
5789353.079372275,5118.035290339987,7397.305006573707,1946.6981626759452,244988.36472629948,6048803.482558164,3185092884.181387,262023.95020581965,453660.2611918623,23.08492593065188,0.7694975310217294,1.7313694447988912,238881966.31360403,0.05771231482662971,Decile 6,access,prims,fiber
171288729.91930735,30683.787590471045,46248.35549835677,12170.863388143032,1531680.6559624306,172909513.58174676,15441644508.675358,1544966.103197564,12968213.518631006,111.91799821619504,3.7305999405398347,8.393849866214627,1158123338.1506515,0.27979499554048753,Decile 6,regional,pcsf,fiber
1881124.5266611204,6141.26421564232,8952.25704455344,2355.9042549885326,296486.19490552694,2195060.1470818315,180067985.75073728,1681913.028466797,164629.51103113737,1.3050972969053047,0.043503243230176826,0.09788229726789786,13505098.931305299,0.003262743242263262,Decile 6,regional,prims,fiber
25748733.09595772,22209.755278665816,70042.93164576856,19498.221498277522,1613390.459726059,27473874.46410649,18855564801.02398,173826.54733016016,2060540.5848079866,158.05338647107544,5.2684462157025145,11.854003985330657,1414167360.0767982,0.3951334661776886,Decile 7,access,pcsf,fiber
6762904.42412629,4439.942459549132,13381.59711683075,3725.1059950521135,308235.8293250673,7092686.899022789,3739167394.8935223,226293.26102316432,531951.5174267092,31.34289932874648,1.044763310958216,2.350717449655986,280437554.61701417,0.0783572483218662,Decile 7,access,prims,fiber
146482881.82775116,20048.028236634982,63149.98683337356,17579.395978420802,1454616.2459912724,148038275.48479083,16932488974.901243,1043011.1619184812,11102870.661359312,141.93354864246513,4.731118288082171,10.645016148184885,1269936673.1175933,0.3548338716061628,Decile 7,regional,pcsf,fiber
1842209.552400071,4965.284798136152,15056.718756653023,4191.418469449889,346821.09708967264,2213244.071513983,225045501.6006542,1173261.2131426411,165993.30536354872,1.8864035107627002,0.06288011702542334,0.1414802633072025,16878412.620049067,0.004716008776906751,Decile 7,regional,prims,fiber
22066514.601740595,12132.769240963893,91456.15800985007,6617.806641234515,1593509.4788957965,23770230.814528443,19553258694.525635,122598.48755420286,1782767.3110896333,193.8868193950535,6.462893979835116,14.541511454629012,1466494402.0894225,0.4847170484876337,Decile 8,access,pcsf,fiber
5025781.850201645,2421.780403526959,16788.536405004405,1214.8256622116078,292519.3063028116,5338726.298975199,3666718144.829429,146835.47366802,400404.47242313996,36.35855945168614,1.2119519817228714,2.7268919588764606,275003860.86220723,0.09089639862921535,Decile 8,access,prims,fiber
70162856.60498616,10159.380410193933,76282.80615436072,5519.856422636543,1329132.74872811,71583951.39670146,10350745855.0832,697452.896112309,5368796.354752609,102.63625227699174,3.421208409233058,7.6977189207743795,776305939.1312399,0.25659063069247934,Decile 8,regional,pcsf,fiber
2050628.0089771135,3215.700093423417,22892.97087426193,1656.5451467244209,398881.46279108676,2477274.68788261,327007663.82590073,763988.9795283565,185795.60159119577,3.242552908828527,0.1080850969609509,0.24319146816213952,24525574.786942553,0.008106382272071317,Decile 8,regional,prims,fiber
19065833.526998054,26715.7798874038,207180.77196332376,18453.575787359936,1438974.8409076473,20757158.495543793,20174145869.874084,76422.87144048163,1556786.8871657846,271.6092460842633,9.053641536142111,20.37069345631975,1513060940.2405565,0.6790231152106583,Decile 9,access,pcsf,fiber
4170393.372077256,5070.477385994241,37843.001870263026,3370.673332357919,262838.71364939923,4479516.23831527,4108825242.299203,80977.44163907322,335963.71787364525,55.31807559790596,1.843935853263532,4.148855669842947,308161893.1724402,0.1382951889947649,Decile 9,access,prims,fiber
32580073.48356038,16924.58096818593,130581.25151726074,11630.862258340541,906952.5798505826,33646162.75815475,6410072782.882745,389873.02463564667,2523462.2068616063,86.30030967030498,2.876676989010166,6.472523225272874,480755458.71620584,0.21575077417576247,Decile 9,regional,pcsf,fiber
638011.2453708051,4447.163327764855,32966.626837789045,2936.3349747169,228969.83228524224,907331.2027963182,148831267.36181283,452816.53072916664,68049.84020972386,2.0037501752315676,0.06679167250771892,0.15028126314236756,11162345.052135961,0.0050093754380789186,Decile 9,regional,prims,fiber
5745283.881556908,18353.68483412183,125829.27350454888,5639.925560454547,1109792.50068562,7004899.266141653,6891848120.823303,24988.64748580035,525367.444960624,280.3232655997947,9.34410885332649,21.0242449199846,516888609.06174767,0.7008081639994866,Decile 10,access,pcsf,fiber
1377850.8080516974,3492.853095495271,22605.804180672807,1013.2384083787762,199379.29587403496,1604341.9996102795,1333106207.9749556,29587.53307368709,120325.64997077094,54.22358111488043,1.8074527038293478,4.066768583616032,99982965.59812166,0.13555895278720106,Decile 10,access,prims,fiber
20263796.830368314,14647.48631290517,100085.98563940011,4486.058712168699,882741.1395832262,21265757.500616014,3077268049.246801,169899.49337938096,1594931.812546201,125.16669165769761,4.172223055256587,9.38750187432732,230795103.69351006,0.312916729144244,Decile 10,regional,pcsf,fiber
1055033.816890717,6445.1465728940475,43112.46091155083,1932.3887319460907,380244.4731115082,1486768.286218616,134139966.21256037,272496.9529854911,111507.62146639619,5.456091416544309,0.1818697138848103,0.40920685624082315,10060497.465942027,0.013640228541360771,Decile 10,regional,prims,fiber
962460.0808913701,10496.398980788777,77142.95987811676,5760.328781538708,842114.9992119181,1897974.7677437323,502828460.3894281,519958.09644696617,142348.10758077994,3.6502456269325902,0.12167485423108634,0.2737684220199443,37712134.52920711,0.009125614067331476,Decile 1,access,pcsf,fiber
429113.22996636794,2898.960998668772,19964.082095799615,1490.7345644389543,217933.72985601568,671400.7374812909,83915248.05965506,1102144.8938164238,50355.05531109682,0.6091764714858999,0.020305882382863332,0.045688235361442495,6293643.604474129,0.00152294117871475,Decile 1,access,prims,fiber
13973661.881978462,4784.6239998022465,34155.72071584426,2550.435987995936,372853.7869061585,14388006.449588263,368303459.4260271,5381366.7048040535,1079100.4837191198,2.6736714368013246,0.08912238122671082,0.20052535776009936,27622759.456952035,0.006684178592003312,Decile 1,regional,pcsf,fiber
223902.65804540948,1195.7411777348316,7145.524286338361,533.5622235756962,78002.62251105974,310780.1082441181,6329126.748831972,6764055.809326172,23308.508118308855,0.04594582259590754,0.0015315274198635848,0.0034459366946930654,474684.5061623978,0.00011486455648976885,Decile 1,regional,prims,fiber
3692208.4630287224,18845.175825816343,174475.47729664107,16663.50676909351,1073869.4725111213,4976062.095431395,1990397315.0043414,280042.3548656844,373204.6571573546,17.768962476472687,0.5922987492157562,1.3326721857354515,149279798.6253256,0.04442240619118172,Decile 2,access,pcsf,fiber
