decile,strategy,algorithm,total_population,mean_distance_km,nodes
Decile 1,access,pcsf,519958.09644696617,885.7243689643117,1
Decile 1,access,prims,1102144.8938164238,229.21954309494794,2
Decile 10,access,pcsf,24988.64748580035,1219.7519100184845,6
Decile 10,access,prims,29587.533073687086,219.13400641133546,8
Decile 2,access,pcsf,280042.3548656844,1106.3262522019336,4
Decile 2,access,prims,454595.561987559,187.58502267383847,6
Decile 3,access,pcsf,176173.29996626216,1112.1756309425873,8
Decile 3,access,prims,194968.40672731717,141.7239392401649,10
Decile 4,access,pcsf,253543.72783045334,1490.3361211204349,13
Decile 4,access,prims,342247.7307705029,221.87698687794344,17
Decile 5,access,pcsf,230593.01923528666,1696.2268488238792,15
Decile 5,access,prims,289191.5334094569,223.45357583421486,22
Decile 6,access,pcsf,206334.36327946294,1737.9789156740592,20
Decile 6,access,prims,262023.95020581965,271.1449401590756,27
Decile 7,access,pcsf,173826.54733016016,1683.1102056053735,19
Decile 7,access,prims,226293.26102316432,321.55568228557894,26
Decile 8,access,pcsf,122598.48755420286,1627.4525783103159,17
Decile 8,access,prims,146835.47366802001,298.75021488917463,21
Decile 9,access,pcsf,76422.87144048163,1561.3433200306686,16
Decile 9,access,prims,80977.44163907322,285.1901632575391,19
Decile 1,regional,pcsf,5381366.7048040535,392.1622170754198,46
Decile 1,regional,prims,6764055.809326172,82.04202949220196,3
Decile 10,regional,pcsf,169899.49337938096,970.2040610234276,28
Decile 10,regional,prims,272496.9529854911,417.91949582034505,3
Decile 2,regional,pcsf,1784854.7575651805,533.8757936334797,79
Decile 2,regional,prims,2350888.51953125,125.49623794511842,5
Decile 3,regional,pcsf,1418410.2603406906,703.3007696056923,94
Decile 3,regional,prims,2363230.2666266025,180.7176446535796,6
Decile 4,regional,pcsf,2618351.9051996376,1537.4003296271303,139
Decile 4,regional,prims,2394367.2036132812,320.3803724164349,7
Decile 5,regional,pcsf,1314503.9284249165,1188.9177098221598,99
Decile 5,regional,prims,1581692.643379407,226.57812713357174,5
Decile 6,regional,pcsf,1544966.103197564,1695.212996207912,131
Decile 6,regional,prims,1681913.028466797,328.14101871925016,7
Decile 7,regional,pcsf,1043011.1619184812,1517.4748518613314,122
Decile 7,regional,prims,1173261.2131426411,361.8083424950921,6
Decile 8,regional,pcsf,697452.896112309,1357.4444002260566,66
Decile 8,regional,prims,763988.9795283565,407.3779752533213,6
Decile 9,regional,pcsf,389873.02463564667,984.0786036544548,44
Decile 9,regional,prims,452816.53072916664,248.44111791531296,3
