iso3,GID_1,area,population,pop_density_sqkm
GMB,GMB.1_1,71.61289328819313,348394,4864.961936364606
GMB,GMB.2_1,1542.0137779746399,87725,56.88989375647637
GMB,GMB.3_1,3089.8981384846097,254256,82.28620770155734
GMB,GMB.4_1,2321.027358874032,265374,114.33471431751552
GMB,GMB.5_1,2121.6004998533836,286699,135.1333580567184
GMB,GMB.6_1,1783.128962868797,1115435,625.5492582013957
GNQ,GNQ.1_1,19.97995441987511,2080,104.10434159604061
GNQ,GNQ.2_1,591.6658959199763,315721,533.613652869223
GNQ,GNQ.3_1,1367.955742060091,36822,26.917537510787753
GNQ,GNQ.4_1,8414.499775071778,147819,17.567176178186905
GNQ,GNQ.5_1,3471.577983584843,188931,54.422225539322284
GNQ,GNQ.6_1,7234.424813071996,384124,53.096688392686076
GNQ,GNQ.7_1,5899.491237251049,204803,34.715366421229035
SSD,SSD.10_1,79476.11884545229,951235,11.968815460777003
SSD,SSD.1_1,43835.41618564722,1908107,43.52888978900035
SSD,SSD.2_1,69449.91838722299,6190659,89.13846328059793
SSD,SSD.3_1,123174.49860176958,2062194,16.74205313120206
SSD,SSD.4_1,43258.38076353036,901571,20.841533688660007
SSD,SSD.5_1,32564.704418448266,863729,26.52347120677957
SSD,SSD.6_1,36997.61496069905,956697,25.858342517923315
SSD,SSD.7_1,78423.20517975958,1549667,19.76031196949799
SSD,SSD.8_1,39830.34602114007,1045437,26.247248754633752
SSD,SSD.9_1,86413.36774233353,333932,3.8643558135092584
CAF,CAF.10_1,19820.96532271475,161654,8.15570772502917
CAF,CAF.11_1,27227.771920089246,321799,11.818778302699446
CAF,CAF.12_1,31905.58388625473,1105581,34.6516460548555
CAF,CAF.13_1,49481.89209459299,380257,7.684770810159695
CAF,CAF.14_1,31979.042674238808,593904,18.571662887157913
CAF,CAF.15_1,53355.16629534865,505821,9.480262833406181
CAF,CAF.16_1,18528.508724317784,143963,7.76981041172814
CAF,CAF.17_1,47390.49135995556,72572,1.5313620500107863
CAF,CAF.1_1,59079.868996912744,59622,1.0091762390860344
CAF,CAF.2_1,92.91957108454795,274447,2953.597361639556
CAF,CAF.3_1,16869.398641624353,342263,20.288986422757482
CAF,CAF.4_1,56684.973886192536,79737,1.4066690788301224
CAF,CAF.5_1,86792.23288299685,124214,1.431164931169023
CAF,CAF.6_1,16573.771484918358,162248,9.789443528145714
CAF,CAF.7_1,18532.84707123197,340258,18.35972631146205
CAF,CAF.8_1,29746.830146740638,494823,16.634478280846935
CAF,CAF.9_1,60404.709488397435,225218,3.728484118332859
GHA,GHA.10_1,24730.075316997772,3068083,124.06282474567347
GHA,GHA.1_1,25085.889006666155,6838624,272.6083974214647
GHA,GHA.2_1,39819.45148352828,2894716,72.69602900475483
GHA,GHA.3_1,9710.987854581912,3038496,312.89257545166777
GHA,GHA.4_1,18607.045240737705,3326693,178.78674216993025
GHA,GHA.5_1,3689.0145976020144,5365682,1454.5027833416211
GHA,GHA.6_1,70384.4234970923,3447911,48.98684721261429
GHA,GHA.7_1,8736.900974677097,1171715,134.11105418226452
GHA,GHA.8_1,19208.245200625697,850157,44.26000350996699
GHA,GHA.9_1,20657.148541223774,2800504,135.57069575267198
GNB,GNB.1_1,5977.942487941097,247955,41.47831808355183
GNB,GNB.2_1,773.694885754272,137166,177.28694156518486
GNB,GNB.3_1,85.16176815536035,490904,5764.370686907831
GNB,GNB.4_1,1472.9656099613774,29637,20.12063268793975
GNB,GNB.5_1,4849.397161157794,213009,43.92484115471873
GNB,GNB.6_1,9245.903086209792,267398,28.920701148038475
GNB,GNB.7_1,5598.4461106700865,266724,47.642505568045095
GNB,GNB.8_1,2965.2532869037987,70513,23.77975612114637
GNB,GNB.9_1,3441.4901716249806,100923,29.325377951710617
AGO,AGO.10_1,81316.33837095644,3205732,39.42297531125656
AGO,AGO.11_1,2474.468837205017,16243066,6564.263714206644
AGO,AGO.12_1,109032.29566012253,880573,8.07625845781454
AGO,AGO.13_1,79133.65298741302,511203,6.45999496675974
AGO,AGO.14_1,83303.91231608263,947761,11.377148727467697
AGO,AGO.15_1,205033.8011300069,1198021,5.843041456566297
AGO,AGO.16_1,60038.345836062275,631594,10.519843463452494
AGO,AGO.17_1,62473.40672165012,909609,14.559939144230718
AGO,AGO.18_1,36816.13853835175,756067,20.536292778570388
AGO,AGO.1_1,34793.84022222778,522647,15.021250792147713
AGO,AGO.2_1,40514.257768399926,1949177,48.11089002648119
AGO,AGO.3_1,73718.29004069348,1075931,14.595170335693785
AGO,AGO.4_1,7073.614186466437,1375512,194.4567464015344
AGO,AGO.5_1,207413.13199165184,420974,2.0296400519950866
AGO,AGO.6_1,24109.75525900601,352660,14.62727415568711
AGO,AGO.7_1,56241.43220128102,1883745,33.493901671250356
