iso3,GID_1,GID_2,area,population,pop_density_sqkm
GMB,GMB.1_1,GMB.1.1_1,6.296195658127056,23756,3773.0720723928
GMB,GMB.1_1,GMB.1.2_1,65.31669763006607,324638,4970.214535931546
GMB,GMB.2_1,GMB.2.1_1,164.347602903219,10195,62.03315302386022
GMB,GMB.2_1,GMB.2.2_1,202.19849491967025,19187,94.89190316487095
GMB,GMB.2_1,GMB.2.3_1,183.20622271658436,27581,150.54619647208787
GMB,GMB.2_1,GMB.2.4_1,156.949791332611,8252,52.57732380486065
GMB,GMB.2_1,GMB.2.5_1,105.35618483159593,6371,60.471058345398255
GMB,GMB.2_1,GMB.2.6_1,729.9554812709594,16139,22.109567520336498
GMB,GMB.3_1,GMB.3.1_1,799.3377217966105,88203,110.34509894235048
GMB,GMB.3_1,GMB.3.2_1,10.263502359041686,3515,342.4756849111495
GMB,GMB.3_1,GMB.3.3_1,164.6788074592298,17210,104.50646483009508
GMB,GMB.3_1,GMB.3.4_1,124.54938105329502,5733,46.02993568909695
GMB,GMB.3_1,GMB.3.5_1,338.5249194280817,27484,81.18752393895441
GMB,GMB.3_1,GMB.3.6_1,142.5435851543112,7080,49.669018723890765
GMB,GMB.3_1,GMB.3.7_1,500.8781297551285,37308,74.48518468602192
GMB,GMB.3_1,GMB.3.8_1,172.36056265882797,12590,73.04455152493763
GMB,GMB.3_1,GMB.3.9_1,535.8971856650772,31177,58.17720419880106
GMB,GMB.3_1,GMB.3.10_1,300.8643431550062,23956,79.62392535049524
GMB,GMB.4_1,GMB.4.1_1,263.58046285411234,27006,102.45827671585583
GMB,GMB.4_1,GMB.4.2_1,290.9352529908592,24337,83.65091459289272
GMB,GMB.4_1,GMB.4.3_1,200.64890379096585,20698,103.15531063933936
GMB,GMB.4_1,GMB.4.4_1,395.1125712857441,67057,169.7161894439056
GMB,GMB.4_1,GMB.4.5_1,773.7160417012637,92618,119.70541517576592
GMB,GMB.4_1,GMB.4.6_1,397.0341262510868,33658,84.77356925916861
GMB,GMB.5_1,GMB.5.1_1,821.0309626669255,152134,185.29630052663128
GMB,GMB.5_1,GMB.5.2_1,305.4797060363009,46853,153.37516396075208
GMB,GMB.5_1,GMB.5.3_1,356.52934590297883,30061,84.31564006004825
GMB,GMB.5_1,GMB.5.4_1,638.5604852471781,57651,90.28275524703675
GMB,GMB.6_1,GMB.6.1_1,301.1471740037197,17256,57.30088637586503
GMB,GMB.6_1,GMB.6.2_1,159.0423531405909,9623,60.505895505038346
GMB,GMB.6_1,GMB.6.3_1,146.1946279777826,16281,111.36524115287085
GMB,GMB.6_1,GMB.6.4_1,85.17068674039963,7846,92.12089628811634
GMB,GMB.6_1,GMB.6.5_1,145.84529308326313,13681,93.80487851733078
GMB,GMB.6_1,GMB.6.6_1,204.69615055067237,206832,1010.4342433581764
GMB,GMB.6_1,GMB.6.7_1,253.49744610305237,42570,167.93068590795326
GMB,GMB.6_1,GMB.6.8_1,185.45546633400312,630913,3401.9649701979292
GMB,GMB.6_1,GMB.6.9_1,302.0797649353132,170433,564.1986646689036
GNQ,GNQ.1_1,GNQ.1.1_1,9.75423840741602,881,90.31971161686874
GNQ,GNQ.1_1,GNQ.1.2_1,10.22571601245909,1199,117.25340294402164
GNQ,GNQ.2_1,GNQ.2.1_1,214.8941058309097,78921,367.2553032333949
GNQ,GNQ.2_1,GNQ.2.2_1,149.01631210182154,133028,892.7076380007521
GNQ,GNQ.2_1,GNQ.2.3_1,227.75547798724497,103772,455.6289970149985
GNQ,GNQ.3_1,GNQ.3.1_1,1006.5723005115289,27535,27.35521331752028
GNQ,GNQ.3_1,GNQ.3.2_1,361.3834415485623,9287,25.69846576313603
GNQ,GNQ.4_1,GNQ.4.1_1,2904.3382513799634,43156,14.859150782280581
GNQ,GNQ.4_1,GNQ.4.2_1,988.885328123758,20623,20.854794194518632
GNQ,GNQ.4_1,GNQ.4.3_1,2361.469280423109,39966,16.924209148653084
GNQ,GNQ.4_1,GNQ.4.4_1,1226.5705055357205,27710,22.591444906705384
GNQ,GNQ.4_1,GNQ.4.5_1,933.2364096092276,16364,17.53467806389173
GNQ,GNQ.5_1,GNQ.5.1_1,308.4971277288834,15241,49.40402561347103
GNQ,GNQ.5_1,GNQ.5.2_1,880.7820560497192,65036,73.83892479790572
GNQ,GNQ.5_1,GNQ.5.3_1,728.5154580937011,39237,53.85884343850582
GNQ,GNQ.5_1,GNQ.5.4_1,581.4923303296096,24451,42.0487059324417
GNQ,GNQ.5_1,GNQ.5.5_1,605.0095488933895,28723,47.47528374144945
GNQ,GNQ.5_1,GNQ.5.6_1,367.2814624895403,16243,44.22493825280545
GNQ,GNQ.6_1,GNQ.6.1_1,1201.9362842629678,80313,66.81968175147342
GNQ,GNQ.6_1,GNQ.6.2_1,791.6539709676855,12394,15.655830014785476
GNQ,GNQ.6_1,GNQ.6.3_1,1853.60900347579,105685,57.01579988111034
GNQ,GNQ.6_1,GNQ.6.4_1,16.810029714536938,2641,157.10858605539062
GNQ,GNQ.6_1,GNQ.6.5_1,1527.0631052800134,79815,52.266995204081326
GNQ,GNQ.6_1,GNQ.6.6_1,1458.9754654028775,77046,52.808290356496656
GNQ,GNQ.6_1,GNQ.6.7_1,384.37695396812467,26230,68.2403035073096
GNQ,GNQ.7_1,GNQ.7.1_1,1183.861180775504,30777,25.997135897165847
GNQ,GNQ.7_1,GNQ.7.2_1,1287.1054028845106,50059,38.89269665702094
GNQ,GNQ.7_1,GNQ.7.3_1,851.9070707646543,24711,29.00668494020118
GNQ,GNQ.7_1,GNQ.7.4_1,661.9374418446196,23206,35.0576935719664
GNQ,GNQ.7_1,GNQ.7.5_1,309.514169453549,9925,32.06638331783875
GNQ,GNQ.7_1,GNQ.7.6_1,899.219847835011,41319,45.949830955667714
GNQ,GNQ.7_1,GNQ.7.7_1,705.9461236932005,24806,35.138658840175914
SSD,SSD.1_1,SSD.1_1,43835.41618564722,1908107,43.52888978900035
SSD,SSD.2_1,SSD.2_1,69449.91838722299,6190659,89.13846328059793
SSD,SSD.3_1,SSD.3_1,123174.49860176958,2062194,16.74205313120206
SSD,SSD.4_1,SSD.4_1,43258.38076353036,901571,20.841533688660007
SSD,SSD.5_1,SSD.5_1,32564.704418448266,863729,26.52347120677957
SSD,SSD.6_1,SSD.6_1,36997.61496069905,956697,25.858342517923315
SSD,SSD.7_1,SSD.7_1,78423.20517975958,1549667,19.76031196949799
SSD,SSD.8_1,SSD.8_1,39830.34602114007,1045437,26.247248754633752
SSD,SSD.9_1,SSD.9_1,86413.36774233353,333932,3.8643558135092584
SSD,SSD.10_1,SSD.10_1,79476.11884545229,951235,11.968815460777003
CAF,CAF.1_1,CAF.1.1_1,22111.99333499069,9199,0.4160185769160496
CAF,CAF.1_1,CAF.1.2_1,36967.87566192206,50423,1.3639680153960563
CAF,CAF.2_1,CAF.2.1_1,92.91957108454795,274447,2953.597361639556
CAF,CAF.3_1,CAF.3.1_1,6103.551491257428,95397,15.629752634452947
CAF,CAF.3_1,CAF.3.2_1,3919.175107850746,93326,23.812663999894475
CAF,CAF.3_1,CAF.3.3_1,3424.2179207906593,33440,9.765733599185952
CAF,CAF.3_1,CAF.3.4_1,3422.454121725519,120100,35.09177792555725
CAF,CAF.4_1,CAF.4.1_1,34143.95298689844,2453,0.07184288242609911
CAF,CAF.4_1,CAF.4.2_1,14467.043094274391,47397,3.2762050746056235
CAF,CAF.4_1,CAF.4.3_1,8073.977805019705,29887,3.7016450530021068
CAF,CAF.5_1,CAF.5.1_1,15700.935736628882,95448,6.079128123384923
CAF,CAF.5_1,CAF.5.2_1,26999.32530237062,17060,0.6318676414666585
